schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,0.0517,0.315187191963,143.56374609699196,0.7362243389589331,2026-09-01T17:23:15.988317+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,0.02931,0.0383487999439,128.92559890355696,0.6611569174541383,2026-09-01T17:21:51.944562+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,0.02617,0.0236543998122,87.10641641126323,0.4466995713398115,2026-09-01T17:21:38.900592+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,0.50359,0.362342405319,127.18730494551762,0.6522425894641929,2026-09-01T17:22:34.512659+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,0.01706,0.0127488002181,6.016566162131881,0.030854185446830162,2026-09-01T17:21:05.485314+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,0.01553,0.0116736002266,0.9213952672022198,0.004725103934370358,2026-09-01T17:20:54.379568+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,0.09061,0.276019191742,104.98459116960977,0.5383825188185117,2026-09-01T17:22:42.385801+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,0.469881,0.420454406738,99.91034301651763,0.5123607334180391,2026-09-01T17:23:01.086370+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,0.02987,0.0250880002975,81.74457811228429,0.419202964678381,2026-09-01T17:21:37.727326+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,0.5071,0.976947212219,131.84254623895325,0.6761156217382218,2026-09-01T17:25:40.202157+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,0.03338,0.0293375998735,134.81675450801427,0.6913679718359705,2026-09-01T17:21:46.590824+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,0.0277,0.0436735987663,142.93120274798105,0.7329805269127233,2026-09-01T17:21:56.104700+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,0.0231,0.0139776006341,1.6091459892714435,0.00825203071421253,2026-09-01T17:21:00.407774+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,0.06798,0.181964802742,192.90186602608352,0.9892403385953001,2026-09-01T17:22:55.063373+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,0.02866,0.0263680011034,68.59147164427223,0.3517511366372935,2026-09-01T17:21:34.702404+00:00,source
2,61bdc4af-02a7-41ef-8edd-569f7d347821-A100-SXM4-80GB-spmv.csr.fp32-merge,AlphaSparseLib-CSR-Merge,AlphaSparseLib CSR Merge,merge,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,61bdc4af-02a7-41ef-8edd-569f7d347821,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,0.026,0.0162816002965,11.899567393362954,0.06102342253006643,2026-09-01T17:21:12.886228+00:00,source
