schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,239.052095,0.199935996532,226.31969622717625,1.160613826806032,2026-08-31T02:53:53.026843+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,29.261001,0.0259072005749,190.84045710404138,0.9786690107899558,2026-08-31T02:52:30.372023+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,10.970263,0.0152575999498,135.04417515069326,0.6925342315420168,2026-08-31T02:52:18.961634+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,238.176792,0.227566409111,202.51386916036873,1.0385326623608653,2026-08-31T02:53:11.295727+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,9.486669,0.00926719978452,8.27693389411189,0.042445814841599434,2026-08-31T02:51:48.683530+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,6.609517,0.00819199979305,1.312988314419303,0.006733273407278477,2026-08-31T02:51:40.495688+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,176.247814,0.23751680851,122.0029949955309,0.6256563845924662,2026-08-31T02:53:19.406015+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,213.025404,0.255897593498,164.15841753638185,0.8418380386481121,2026-08-31T02:53:38.089182+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,15.857583,0.0154624000192,132.6319327823279,0.6801637578580919,2026-08-31T02:52:17.879029+00:00,source
2,1f91b775-877c-4a7c-8347-2a1fdded536b-A100-SXM4-80GB-spmv.csr.fp32-csr-default,cuSPARSE-CUDA-12.2-CSR-DEFAULT,cuSPARSE CUDA 12.2 CSR DEFAULT,csr-default,cusparse,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,1f91b775-877c-4a7c-8347-2a1fdded536b,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,582.679215,0.68021440506,189.3567778657063,0.9710603993113144,2026-08-31T02:56:17.109721+00:00,source
