schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD01_b,GD01_b,18,18,37,pass,74.0,432.060634,0.0204845,0.003612487490541629,0.0002206099230865117,2026-08-26T08:18:03.688597+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD01_c,GD01_c,33,33,135,pass,270.0,743.105642,0.02110355,0.012794055976364167,0.0007813163955031553,2026-08-26T08:18:54.717235+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD02_a,GD02_a,23,23,87,pass,174.0,481.853997,0.0241313,0.007210552270287965,0.00044033906994124977,2026-08-26T08:18:35.112334+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD02_b,GD02_b,80,80,232,pass,464.0,461.529216,0.0215474,0.021533920565822325,0.0013150485841723555,2026-08-26T08:19:46.871523+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD95_a,GD95_a,36,36,57,pass,114.0,666.355911,0.0219649,0.005190098748457767,0.00031695259532566513,2026-08-26T08:18:16.352530+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD95_b,GD95_b,73,73,96,pass,192.0,484.327448,0.01943915,0.009876975073498585,0.00060317405028999,2026-08-26T08:18:38.900219+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD96_b,GD96_b,111,111,193,pass,386.0,519.906644,0.02622705,0.01471762931782263,0.0008987865232258094,2026-08-26T08:19:20.327317+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD96_d,GD96_d,180,180,229,pass,458.0,477.28778,0.029174,0.015698909988345788,0.0009587120603569947,2026-08-26T08:19:42.975029+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD98_a,GD98_a,38,38,50,pass,100.0,436.438521,0.0200424,0.004989422424460145,0.00030469755263878753,2026-08-26T08:18:15.024879+00:00,source
2,62326b0c-da4d-41a4-a562-ee7dad26c845-RTX5090-SL3061-spmv.csr.fp64-sigma-2,GHOST-SELL-C32-sigma-2,GHOST SELL-C32 sigma 2,sigma-2,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,62326b0c-da4d-41a4-a562-ee7dad26c845,suitesparse_validation_100,Pajek/GD98_b,GD98_b,121,121,207,pass,414.0,758.323715,0.0279351,0.014820065079416217,0.0009050421422544254,2026-08-26T08:19:21.915663+00:00,source
