schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,16353.480839,12.62957985,3.582815464759898,0.21879789097770372,2026-08-31T04:23:53.863981+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,2672.731021,0.0341099,144.94741995725582,8.851750837084325,2026-08-31T04:20:16.241130+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,1836.528017,0.02894385,71.18783437586914,4.347348664175215,2026-08-31T04:19:37.499217+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,17293.069199,12.03321855,3.829844343681433,0.23388362404161422,2026-08-31T04:21:57.466859+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,739.158382,0.0322103,2.381350065041307,0.1454259581704615,2026-08-31T04:17:56.197937+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,807.537389,0.02378505,0.45221683368334314,0.027616295186769044,2026-08-31T04:17:22.455774+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,1967.879484,0.18139305,159.75122530879767,9.755800018857872,2026-08-31T04:22:12.356259+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,4360.372949,0.26733725,157.13389735250138,9.595963197099321,2026-08-31T04:22:59.303913+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,1552.33371,0.04223885,48.552647621798414,2.96504718301059,2026-08-31T04:19:33.813720+00:00,source
2,26e0842c-8507-4dfb-a996-0bc62689a126-RTX5090-SL3061-spmv.csr.fp64-sigma-8192,GHOST-SELL-C32-sigma-8192,GHOST SELL-C32 sigma 8192,sigma-8192,GHOST-SELL-C32-sigma,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,26e0842c-8507-4dfb-a996-0bc62689a126,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,11402.8427,1.216851,105.84961346952092,6.464098532489827,2026-08-31T04:29:29.797869+00:00,source
