schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,0.34059,0.4249792099,106.47451203706518,0.5460231386516163,2026-08-31T08:27:54.100881+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,3.074586,0.0190975993872,258.8881408473658,1.3276314915249525,2026-08-31T08:26:40.531392+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,1.040228,0.0121855996549,169.08892942100425,0.867122714979509,2026-08-31T08:26:30.489911+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,29.968189,0.242585611343,189.97562858267946,0.9742339927316896,2026-08-31T08:27:16.920557+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,0.030059,0.00967679992318,7.926587364513109,0.0406491659718621,2026-08-31T08:26:06.759815+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,0.033229,0.00547839999199,1.9633469654874434,0.010068445976858683,2026-08-31T08:25:59.878816+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,8.913375,0.264243197441,109.6632279681301,0.5623755280416929,2026-08-31T08:27:24.448840+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,35.44899,0.285391998291,147.19313874093555,0.7548366089278746,2026-08-31T08:27:40.799073+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,4.097324,0.0122879996896,166.89518650750864,0.8558727513205572,2026-08-31T08:26:29.576233+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,207.287271,0.611993598938,210.4649594759059,1.0793074844918251,2026-08-31T08:30:00.533017+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,1.058077,0.0808960020542,48.89240382176157,0.2507302760090337,2026-08-31T08:26:36.227708+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,1.230262,0.17023999691,36.66776382344567,0.18803981447920856,2026-08-31T08:26:43.543397+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,0.054488,0.00737280026078,3.050672635151583,0.0156444750520594,2026-08-31T08:26:03.558666+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,5.131412,0.152576005459,230.05812673102383,1.1797852652873018,2026-08-31T08:27:35.553993+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,2.363447,0.0154111996293,117.35750905214576,0.6018333797545936,2026-08-31T08:26:27.274991+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,0.235372,0.0105471998453,18.36923570632213,0.0942012087503699,2026-08-31T08:26:11.807739+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,SNAP/as-Skitter,as-Skitter,1696415,1696415,22190596,pass,44381192.0,15.409117,0.25611679554,173.28497300001789,0.8886408871795789,2026-08-31T08:27:45.935326+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Grund/b_dyn,b_dyn,1089,1089,4264,pass,8528.0,0.041029,0.00517119988799,1.6491336990871495,0.008457095892754613,2026-08-31T08:25:59.347793+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,Nasa/barth5,barth5,15606,15606,61484,pass,122968.0,0.163855,0.00588800013065,20.88451040615467,0.10710005336489577,2026-08-31T08:26:10.709646+00:00,source
2,bdc1b878-fbad-4709-96a0-83ad3318056f-A100-SXM4-80GB-spmv.csr.fp32-CSR-Adaptive,csr-adaptive-cuda,CSR-Adaptive,,CSR-Adaptive,candidate,,csr,spmv.csr.fp32,fp32,A100-SXM4-80GB,A100-SXM4-80GB,19500.0,bdc1b878-fbad-4709-96a0-83ad3318056f,suitesparse_sample_100,HB/bcsstm12,bcsstm12,1473,1473,19659,pass,39318.0,0.050298,0.00675840005279,5.817649102285498,0.02983409796043845,2026-08-31T08:26:05.162323+00:00,source
