schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-32768,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,88020e9e-58d0-4cbc-a9df-081cd4a854f2,suitesparse_sample_100,AG-Monien/grid2_dual,grid2_dual,3136,3136,12224,pass,24448.0,573.34649,0.02472155,0.9889347553045824,0.01019520366293384,2026-09-01T05:37:44.655820+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-128,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,faacb746-2434-4975-8361-a94be1143cbe,suitesparse_sample_100,Bai/bfwb782,bfwb782,782,782,5982,pass,11964.0,255.254084,0.024677,0.48482392511245287,0.0049981847949737415,2026-09-01T05:46:21.383904+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-32,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,db1735e9-6473-46b7-8042-a1f7e78ef6f6,suitesparse_sample_100,Bai/rw496,rw496,496,496,1859,pass,3718.0,158.531123,0.02361,0.15747564591274885,0.0016234602671417408,2026-09-01T05:54:21.373827+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-16384,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,aee1ddb9-7c5f-4931-b7a4-73a5698b7edd,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,505.254313,0.04959855,99.68319638376526,1.0276618183893325,2026-09-01T05:43:14.597265+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-65536,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,4a8a771f-039b-4dd6-a5dc-b1b4942fe160,suitesparse_sample_100,Bova/rma10,rma10,46835,46835,2374001,pass,4748002.0,491.789712,0.06595955,71.98354142804187,0.7420983652375451,2026-09-01T05:51:18.901703+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-16,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,0283f6f0-836a-486e-ac4a-8578203bd2fb,suitesparse_sample_100,Brogan/specular,specular,477976,1600,7647616,pass,15295232.0,982.633563,0.09166055,166.8682110242629,1.7202908353016795,2026-09-01T05:44:41.612798+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-512,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,740da1d1-257c-4b17-b81d-6987e0e85ac5,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,5973.632993,23.3758901,1.9357318077055814,0.019955998017583312,2026-09-01T05:49:38.974302+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-16384,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,aee1ddb9-7c5f-4931-b7a4-73a5698b7edd,suitesparse_sample_100,CEMW/tmt_sym,tmt_sym,726713,726713,5080961,pass,10161922.0,775.275039,0.0842511,120.614710075002,1.2434506193299175,2026-09-01T05:42:51.960304+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-32,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,db1735e9-6473-46b7-8042-a1f7e78ef6f6,suitesparse_sample_100,CPM/cz10228,cz10228,10228,10228,102876,pass,205752.0,302.875013,0.0261025,7.88246336557801,0.08126250892348463,2026-09-01T05:44:06.578826+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-128,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,faacb746-2434-4975-8361-a94be1143cbe,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,504.357893,0.03940105,45.90283761473361,0.4732251300488001,2026-09-01T05:51:51.271624+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-1024,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,54fdb2f9-3f08-4042-a8fa-580843e0bf2c,suitesparse_sample_100,DIMACS10/coPapersCiteseer,coPapersCiteseer,434102,434102,32073440,pass,64146880.0,2843.106241,0.589107,108.8883343772863,1.1225601482194463,2026-09-01T05:38:27.839100+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-32768,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,88020e9e-58d0-4cbc-a9df-081cd4a854f2,suitesparse_sample_100,DIMACS10/great-britain_osm,great-britain_osm,7733822,7733822,16313034,pass,32626068.0,2985.01733,0.40782485,80.00019616264187,0.8247442903365142,2026-09-01T05:52:20.777282+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-256,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,d288debf-b603-44e9-a8a3-59bf690375eb,suitesparse_sample_100,DIMACS10/hugetrace-00010,hugetrace-00010,12057441,12057441,36164358,pass,72328716.0,5280.000812,0.7981942,90.61543669447862,0.9341797597368929,2026-09-01T05:51:20.047081+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-512,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,740da1d1-257c-4b17-b81d-6987e0e85ac5,suitesparse_sample_100,DIMACS10/in2010,in2010,267071,267071,1281716,pass,2563432.0,362.364473,0.04718305,54.32951027964492,0.5600980441200508,2026-09-01T05:41:29.378912+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-4096,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,ab7785c2-af3b-4929-9a08-a800d77e57bf,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,3337.891495,0.51406845,81.71624615360075,0.8424355273567087,2026-09-01T05:42:23.715447+00:00,derived
2,curated-ghost-sell-c-sigma-best-fp64,ghost-sell-c-sigma-best,GHOST SELL-C-sigma BEST,per-matrix-best,ghost-sell,best,sigma-8192,sell,spmv.csr.fp64,fp64,A100-SXM4-80GB,A100-SXM4-80GB,9700.0,8b5e4534-b342-4ce2-84eb-6e38853bc2df,suitesparse_sample_100,DRIVCAV/cavity03,cavity03,317,317,7327,pass,14654.0,441.296,0.03180855,0.46069374429202214,0.004749420044247651,2026-09-01T05:43:49.271326+00:00,derived
