schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,3750.094864,0.407495212555,111.04290947686322,0.37014303158954404,2026-09-10T02:16:50.496419+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,3806.963872,0.0342238485813,144.46481634743708,0.4815493878247903,2026-09-10T02:13:39.477394+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,3869.419099,0.0175839006901,117.17820956302741,0.390594031876758,2026-09-10T02:12:43.222277+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,3811.955778,0.340319299698,135.4179855238778,0.4513932850795927,2026-09-10T02:15:24.649612+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,3946.77066,0.00578409992158,13.261181694635615,0.04420393898211872,2026-09-09T11:12:03.271253+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,4284.656222,0.00552815012634,1.945677985254207,0.006485593284180689,2026-09-09T11:10:45.224854+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,3794.389952,0.379007339478,76.45699431549413,0.25485664771831373,2026-09-10T02:15:41.430561+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,3792.010108,0.920846366882,45.61862381261151,0.1520620793753717,2026-09-10T02:16:20.715353+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,3864.279064,0.0269838988781,76.00117422854804,0.25333724742849345,2026-09-10T02:12:36.821336+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,3993.152732,0.994358444214,129.53398118101538,0.43177993727005126,2026-09-10T02:20:41.403252+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,3841.721437,0.0269439011812,146.79388754438148,0.4893129584812716,2026-09-10T02:13:18.194204+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,3796.407421,0.0395118504763,157.9860200104844,0.5266200667016147,2026-09-10T02:13:53.908463+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,3939.364402,0.00805620029569,2.7918868913963117,0.009306289637987707,2026-09-09T11:11:27.653101+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,3809.561505,0.190231645107,184.51898463190219,0.6150632821063406,2026-09-10T02:16:07.659299+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,3891.991279,0.0204558998346,88.4155678617873,0.29471855953929094,2026-09-10T02:12:23.349870+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,3953.020133,0.0123678997159,15.665068803147344,0.05221689601049114,2026-09-10T02:10:12.987109+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,SNAP/as-Skitter,as-Skitter,1696415,1696415,22190596,pass,44381192.0,3883.718331,0.435047149658,102.01467136352694,0.34004890454508985,2026-09-10T02:16:33.393904+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Grund/b_dyn,b_dyn,1089,1089,4264,pass,8528.0,3962.206848,0.00760020017624,1.1220757088294226,0.0037402523627647418,2026-09-09T11:10:38.924977+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Nasa/barth5,barth5,15606,15606,61484,pass,122968.0,3923.849613,0.00541590005159,22.704998029625575,0.07568332676541858,2026-09-10T02:10:01.076549+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,HB/bcsstm12,bcsstm12,1473,1473,19659,pass,39318.0,3941.434884,0.00531210005283,7.40159251689047,0.024671975056301566,2026-09-09T11:11:45.303049+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Bai/bfwb782,bfwb782,782,782,5982,pass,11964.0,3854.333211,0.00600810013711,1.9913116837221843,0.006637705612407282,2026-09-09T11:10:56.928427+00:00,source
2,3849c42e-908c-5799-bd4a-f71f627f594e-BW1000-gfx936-spmv.csr.fp64-adaptive,rocSPARSE-CSR-Adaptive,rocSPARSE DTK 26.04 CSR Adaptive,adaptive,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp64,fp64,BW1000-gfx936,BW1000,30000.0,3849c42e-908c-5799-bd4a-f71f627f594e,suitesparse_sample_100,Gaertner/big,big,13209,13209,91465,pass,182930.0,3861.207703,0.00642390027642,28.476469454464468,0.0949215648482149,2026-09-10T02:10:07.024751+00:00,source
