schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,3.230647,0.184459197521,245.3087436577865,14.980686635590015,2026-09-08T07:57:19.282063+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,7.128083,0.0473600000143,104.39489017118144,6.375260468469096,2026-09-08T07:55:50.684372+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,2.987015,0.0135391995311,152.18403386899473,9.293681457648534,2026-09-08T07:55:39.542360+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,3.535493,0.239561605453,192.37370659983142,11.748012616783598,2026-09-08T07:56:35.062061+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,2.587393,0.0153840005398,4.985959263428184,0.30448606188874405,2026-09-08T07:55:18.783259+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,2.690522,0.0125376001,0.857899431646412,0.052390804986040436,2026-09-08T07:55:13.820536+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,3.397447,0.162340795994,178.49956828517088,10.900736994514252,2026-09-08T07:56:42.590122+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,4.042877,0.226236796379,185.68042277979893,11.33926245983505,2026-09-08T07:57:03.845860+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,3.115133,0.0189263999462,108.35700428130056,6.617221635499271,2026-09-08T07:55:38.644301+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,6.044095,0.901091194153,142.94136801666488,8.729243848345947,2026-09-08T07:59:34.278031+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,2.820266,0.0185407996178,213.32413280616174,13.027427957628198,2026-09-08T07:55:45.567815+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,2.906905,0.0223823994398,278.8941380833376,17.031703089058787,2026-09-08T07:55:54.473896+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,2.513117,0.0126928001642,1.7720282135567382,0.10821546342331224,2026-09-08T07:55:16.446674+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,11.784384,0.155657601357,225.50360338326954,13.771212420352338,2026-09-08T07:56:56.616410+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,2.820674,0.0219520002604,82.38975849789117,5.031435633459003,2026-09-08T07:55:36.269526+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,2.738716,0.0125456005335,15.443182610721056,0.943095121265408,2026-09-08T07:55:22.434993+00:00,source
2,25bb91b0-3173-461d-ab65-cdbee38922f9-RTX5090-SL3061-spmv.csr.fp64-CSR5,csr5,CSR5,,CSR5,candidate,,csr,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX 5090,1637.5,25bb91b0-3173-461d-ab65-cdbee38922f9,suitesparse_sample_100,SNAP/as-Skitter,as-Skitter,1696415,1696415,22190596,pass,44381192.0,3.854437,0.193871998787,228.92007240694915,13.979851750042696,2026-09-08T07:57:10.896502+00:00,source
