schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,7.707024,0.121000003815,373.96241796143283,0.35683436828381,2026-08-31T02:24:14.460508+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,14.891528,0.0124880000949,395.9114319689306,0.37777808393981926,2026-08-31T02:22:31.951624+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,94.177779,0.0120159998536,171.47553471238504,0.16362169342784832,2026-08-31T02:22:11.766318+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,87.443482,0.122697603703,375.60109251647265,0.35839798904243575,2026-08-31T02:23:26.419480+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,47.830528,0.0122224003077,6.275690377419334,0.005988254176926845,2026-08-31T02:20:44.930000+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,22.358441,0.0121968001127,0.8818706464493292,0.0008414796244745509,2026-08-31T02:20:10.289620+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,15.335497,0.155841600895,185.94368790862262,0.17742718311891473,2026-08-31T02:23:36.731756+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,7.078515,0.14368159771,292.36690480562726,0.2789760542038428,2026-08-31T02:23:57.509616+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,86.52366,0.0120384000242,170.35552863149556,0.16255298533539653,2026-08-31T02:22:09.238989+00:00,source
2,ae9fb8a6-9611-4418-81a6-439d878d0531-RTX5090-SL3061-spmv.csr.fp32-coo-alg2,cuSPARSE-COO-ALG2,cuSPARSE CUDA 12.8 COO ALG2,coo-alg2,cusparse,candidate,,coo,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX5090-SL3061,104800.0,ae9fb8a6-9611-4418-81a6-439d878d0531,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,10.992507,0.542759990692,237.31153771260924,0.22644230697768056,2026-08-31T02:26:39.821831+00:00,source
