schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,25.212994,0.168326401711,268.81970706941684,16.416470660727743,2026-08-31T04:04:27.179060+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,15.23268,0.0181968003511,271.703920722586,16.592605845654106,2026-08-31T04:02:11.313771+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,16.016494,0.0115808002651,177.91948335465122,10.865311960589388,2026-08-31T04:01:49.230445+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,31.713603,0.179169595242,257.21637612538916,15.70787029773369,2026-08-31T04:03:16.730709+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,124.435806,0.0140144005418,5.473227325793857,0.3342428901248157,2026-08-31T04:00:14.317345+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,99.43609,0.012936000526,0.8314780119544346,0.0507772831727899,2026-08-31T03:59:38.457269+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,20.2386,0.158499205112,182.82591372949472,11.164941296457693,2026-08-31T04:03:28.369030+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,10.932465,0.174463999271,240.78173248079764,14.704227937758635,2026-08-31T04:04:01.941231+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,153.427026,0.0156304001808,131.20636556184672,8.01260247705934,2026-08-31T04:01:45.783097+00:00,source
2,e9eccd48-2d05-40d3-aa28-55764a28fdde-RTX5090-SL3061-spmv.csr.fp64-sell-nrows-default,cuSPARSE-SELL-NROWS-DEFAULT,cuSPARSE CUDA 12.8 SELL-NROWS DEFAULT,sell-nrows-default,cusparse,candidate,,sell,spmv.csr.fp64,fp64,RTX5090-SL3061,RTX5090-SL3061,1637.5,e9eccd48-2d05-40d3-aa28-55764a28fdde,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,8.109178,0.846227169037,152.2087835428128,9.295192888110705,2026-08-31T04:08:05.188919+00:00,source
