schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,10240.52411,6.69992995,6.753720462405731,0.006444389754203942,2026-08-31T03:03:14.263541+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,1220.181048,0.03078095,160.62343754822382,0.15326663888189296,2026-08-31T02:59:46.682653+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,1345.473713,0.03077945,66.94239175813733,0.06387632801348982,2026-08-31T02:59:04.977609+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,8992.777946,2.939499,15.677962128920608,0.014959887527596,2026-08-31T03:01:24.342378+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,437.616916,0.021605,3.5502892848877576,0.003387680615350914,2026-08-31T02:57:38.025432+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,351.955392,0.0208607,0.515610693792634,0.0004919949368250325,2026-08-31T02:57:20.007622+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,1851.097675,0.17859865,162.25073369815505,0.15481940238373573,2026-08-31T03:01:40.876311+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,3570.272775,0.19297005,217.69048616611747,0.207719929547822,2026-08-31T03:02:26.555193+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,928.254823,0.0403326,50.847403837094554,0.04851851511173144,2026-08-31T02:58:59.840454+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,7286.898198,0.71742995,179.53419424433008,0.1713112540499333,2026-08-31T03:08:14.028328+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,1150.811838,1.5187841,2.604188442583775,0.0024849126360532207,2026-08-31T02:59:29.383936+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,1943.467132,2.41959285,2.579905127426707,0.00246174153380411,2026-08-31T02:59:58.184292+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,444.059447,0.0688298,0.32677706458539757,0.00031181017613110453,2026-08-31T02:57:29.065321+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,1842.949742,0.17278665,203.14850713292952,0.19384399535584879,2026-08-31T03:02:12.362129+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,1388.271112,0.03594065,50.32240652297608,0.04801756347612222,2026-08-31T02:58:50.234001+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,919.423,0.14676865,1.3200639237330316,0.0012596029806612897,2026-08-31T02:57:50.022609+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,SNAP/as-Skitter,as-Skitter,1696415,1696415,22190596,pass,44381192.0,8568.965443,3.26854505,13.578271469747678,0.012956365906247784,2026-08-31T03:02:47.560597+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Grund/b_dyn,b_dyn,1089,1089,4264,pass,8528.0,419.831006,0.01920945,0.4439481609312083,0.0004236146573771071,2026-08-31T02:57:18.838859+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Nasa/barth5,barth5,15606,15606,61484,pass,122968.0,495.953499,0.0205976,5.970015924185342,0.005696580080329525,2026-08-31T02:57:47.090537+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,HB/bcsstm12,bcsstm12,1473,1473,19659,pass,39318.0,391.726514,0.02548925,1.542532636307463,0.0014718822865529228,2026-08-31T02:57:32.685374+00:00,source
2,9c89367f-21c2-49d8-85da-8984f01247d0-RTX5090-SL3061-spmv.csr.fp32-sigma-32,ghost-sell-c32-sigma-32,GHOST SELL-C32 sigma 32,sigma-32,ghost-sell,candidate,,sell,spmv.csr.fp32,fp32,RTX5090-SL3061,RTX 5090,104800.0,9c89367f-21c2-49d8-85da-8984f01247d0,suitesparse_sample_100,Bai/bfwb782,bfwb782,782,782,5982,pass,11964.0,526.055526,0.02025125,0.5907783470156163,0.0005637197967706262,2026-08-31T02:57:23.404459+00:00,source
