schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,0.112409,51.5167602539,0.8783443247787394,0.010979304059734242,2026-09-15T10:28:22.458598+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,0.115488,0.331609988213,14.90950868712759,0.18636885858909485,2026-09-15T10:25:11.852899+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,0.116324,0.186978495121,11.019716458123241,0.1377464557265405,2026-09-15T10:24:52.253551+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,0.139731,13.8293197632,3.3324382391268244,0.0416554779890853,2026-09-15T10:26:44.005764+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,0.077435,0.0861846506596,0.889996065575002,0.011124950819687526,2026-09-15T10:24:22.639450+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,0.088007,0.0152242004871,0.7065067232340994,0.008831334040426242,2026-09-15T10:24:18.326754+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,0.158543,2.99806079865,9.665501784703107,0.12081877230878883,2026-09-15T10:27:04.328958+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,0.136911,3.10481987,13.529848995716456,0.1691231124464557,2026-09-15T10:27:44.989477+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,0.125087,0.125706148148,16.31430148973687,0.20392876862171086,2026-09-15T10:24:50.950119+00:00,source
2,c4e2200b-6eac-4a66-899e-0952fd047aea-Z100-gfx906-spmv.csr.fp32-scalar,AlphaSparseLib-CSR-Scalar,AlphaSparseLib CSR Scalar,scalar,AlphaSparseLib-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,c4e2200b-6eac-4a66-899e-0952fd047aea,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,0.280273,2.24233856201,57.44146320372899,0.7180182900466123,2026-09-15T10:34:09.012290+00:00,source
