schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,3.6907,3.52768592834,12.826950845165726,0.16033688556457157,2026-09-16T04:38:03.964956+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,1.767873,0.0630888998508,78.36785887362888,0.979598235920361,2026-09-16T04:34:55.975685+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,1.59556,0.0359679013491,57.285799913693246,0.7160724989211655,2026-09-16T04:34:37.339494+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,1.464466,5.1940158844,8.872778795000483,0.11090973493750604,2026-09-16T04:36:27.222868+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,1.247674,0.0446810007095,1.7167028218258176,0.02145878527282272,2026-09-16T04:34:09.809821+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,1.243165,0.0132641494274,0.8109076317989249,0.01013634539748656,2026-09-16T04:34:05.340893+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,1.614138,0.964227771759,30.052818274604444,0.3756602284325556,2026-09-16T04:36:48.161613+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,1.754699,1.34234676361,31.29425655039219,0.39117820687990235,2026-09-16T04:37:27.969302+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,1.627172,0.0858569502831,23.886336437967785,0.2985792054745973,2026-09-16T04:34:36.037458+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,1.844499,1.80012226105,71.55247773274571,0.8944059716593215,2026-09-16T04:43:50.724536+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,1.485263,1.82025794983,2.1728788495989755,0.027160985619987192,2026-09-16T04:34:47.416140+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,1.474851,3.11752166748,2.002334118513403,0.025029176481417535,2026-09-16T04:35:01.985182+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,1.373924,0.113930296898,0.19741895362685427,0.0024677369203356786,2026-09-16T04:34:07.899925+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,6.288888,0.386437058449,90.83329156081054,1.1354161445101316,2026-09-16T04:37:15.035426+00:00,source
2,9d295c6a-5d2f-4765-bfe4-6200a153b7bc-Z100-gfx906-spmv.csr.fp32-stream,rocSPARSE-CSR-Stream,rocSPARSE DTK 23.10.1 CSR Stream,stream,rocSPARSE-CSR,candidate,,csr,spmv.csr.fp32,fp32,Z100-gfx906,Z100,8000.0,9d295c6a-5d2f-4765-bfe4-6200a153b7bc,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,1.310435,0.0546650528908,33.08548888835679,0.4135686111044599,2026-09-16T04:34:31.862269+00:00,source
