schema_version,submission_id,method_id,method_name,configuration_id,candidate_group,selection_role,selected_from,base_format,operator_id,dtype,backend_id,hardware,peak_gflops,job_id,dataset_id,matrix_id,matrix_name,rows,cols,nnz,status,operations,preprocess_ms,solve_ms,solve_gflops,solve_only_efficiency_percent,timestamp,source_kind
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Buss/12month1,12month1,12471,872622,22624727,pass,45249454.0,3.737494,3.76373214722,12.022495817993462,0.30056239544983654,2026-09-16T11:01:34.851538+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Bodendiek/CurlCurl_1,CurlCurl_1,226451,226451,2472071,pass,4944142.0,1.19567,0.0811369478703,60.93576514491731,1.5233941286229327,2026-09-16T10:58:26.586024+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,UTEP/Dubcova2,Dubcova2,65025,65025,1030225,pass,2060450.0,1.473144,0.0425166010857,48.46224644925839,1.2115561612314596,2026-09-16T10:58:07.897444+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Freescale/Freescale2,Freescale2,2999349,2999349,23042677,pass,46085354.0,3.447336,5.83440513611,7.8988950758271645,0.19747237689567912,2026-09-16T10:59:58.255677+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Gset/G3,G3,800,800,38352,pass,76704.0,1.134256,0.0485285490751,1.5805953703931532,0.03951488425982883,2026-09-16T10:57:39.879641+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,JGD_GL6/GL6_D_7,GL6_D_7,636,470,5378,pass,10756.0,1.126075,0.0138641506433,0.7758138436845355,0.019395346092113387,2026-09-16T10:57:35.302765+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,JGD_GL7d/GL7d16,GL7d16,955128,460261,14488881,pass,28977762.0,3.079298,1.07498884201,26.95633746841294,0.6739084367103235,2026-09-16T11:00:19.012402+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,DIMACS10/M6,M6,3501776,3501776,21003872,pass,42007744.0,1.243251,1.82053089142,23.074447238428505,0.5768611809607126,2026-09-16T11:00:59.329060+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,FlowIPM22/Spielman_k100,Spielman_k100,338402,338402,1025404,pass,2050808.0,1.583547,0.102667248249,19.97528944212231,0.49938223605305776,2026-09-16T10:58:06.623919+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,FlowIPM22/Spielman_k400,Spielman_k400,21413602,21413602,64401604,pass,128803208.0,1.404424,2.31049213409,55.747087860452666,1.3936771965113166,2026-09-16T11:07:22.551521+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c19,TSOPF_FS_b39_c19,76216,76216,1977600,pass,3955200.0,1.524724,2.07928676605,1.9021907245212037,0.04755476811303009,2026-09-16T10:58:17.978561+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,TSOPF/TSOPF_FS_b39_c30,TSOPF_FS_b39_c30,120216,120216,3121160,pass,6242320.0,1.217572,3.47553367615,1.796075245317401,0.04490188113293502,2026-09-16T10:58:32.600021+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Sandia/adder_dcop_31,adder_dcop_31,1813,1813,11246,pass,22492.0,1.120324,0.132161796093,0.17018533846326336,0.004254633461581584,2026-09-16T10:57:37.931759+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Schenk_AFE/af_4_k101,af_4_k101,503625,503625,17550675,pass,35101350.0,4.914655,0.470141077042,74.66131277200488,1.8665328193001218,2026-09-16T11:00:46.215574+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,DIMACS10/ar2010,ar2010,186211,186211,904310,pass,1808620.0,1.175848,0.0647367477417,27.93807324421678,0.6984518311054195,2026-09-16T10:58:02.402599+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Newman/as-22july06,as-22july06,22963,22963,96872,pass,193744.0,1.362603,0.30443611145,0.6364028205366832,0.015910070513417078,2026-09-16T10:57:43.450792+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,SNAP/as-Skitter,as-Skitter,1696415,1696415,22190596,pass,44381192.0,1.379671,3.94866104126,11.239554759513661,0.28098886898784153,2026-09-16T11:01:12.509339+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Grund/b_dyn,b_dyn,1089,1089,4264,pass,8528.0,1.127186,0.011879850179,0.7178541708442534,0.017946354271106336,2026-09-16T10:57:34.987736+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Nasa/barth5,barth5,15606,15606,61484,pass,122968.0,1.227402,0.0108880996704,11.293798157845343,0.28234495394613357,2026-09-16T10:57:42.678741+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,HB/bcsstm12,bcsstm12,1473,1473,19659,pass,39318.0,1.219161,0.0220082998276,1.7865078314996592,0.04466269578749148,2026-09-16T10:57:38.951773+00:00,source
2,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb-legacy,rocsparse-legacy-csrmv-no-analysis,rocSPARSE DTK 23.10.1 Legacy CSRMV (No Analysis),no-analysis,rocSPARSE-Legacy-CSRMV,candidate,,csr,spmv.csr.fp64,fp64,Z100-gfx906,Z100,4000.0,ae6a0cf8-ce93-44fe-9417-67f1f62d1deb,suitesparse_sample_100,Bai/bfwb782,bfwb782,782,782,5982,pass,11964.0,1.19306,0.013040150702,0.9174740594190411,0.02293685148547603,2026-09-16T10:57:35.902698+00:00,source
